order_id,date,product,category,amount,city,customer_id
1,2023-01-03,Shampoo,Toiletries,250,Delhi,101
2,2023-01-05,Soap,Toiletries,40,Delhi,102
3,2023-01-10,T-shirt,Clothing,799,Gurgaon,103
4,2023-02-01,Jeans,Clothing,1599,Noida,104
5,2023-02-10,Perfume,Toiletries,1200,Delhi,105
6,2023-03-12,Notebook,Stationery,60,Noida,106
7,2023-03-20,Pen,Stationery,15,Gurgaon,107
8,2023-04-05,T-shirt,Clothing,699,Delhi,108
9,2023-04-08,Shampoo,Toiletries,300,Noida,109
10,2023-04-12,Perfume,Toiletries,1100,Gurgaon,110
